Date,Open,High,Low,Close,Adj Close,Volume,TSX,TSX_Open,TSX_High,TSX_Low,TSX_Close,TSX_Adj Close,TSX_Volume
18-10-24,6.160000,6.220000,5.480000,5.500000,5.500000,7242900,,15265.700195,15295.700195,14900.400391,14909.099609,14909.099609,290191400
18-10-25,5.500000,6.120000,5.160000,5.890000,5.890000,6325300,,14988.700195,15009.900391,14905.299805,14924.099609,14924.099609,300106200
18-10-26,5.750000,6.060000,5.520000,5.800000,5.800000,6181000,,14827.599609,14950.799805,14732.000000,14888.299805,14888.299805,269257400
18-10-29,5.890000,6.000000,5.050000,5.320000,5.320000,7730200,,14987.000000,15019.599609,14639.700195,14721.799805,14721.799805,283759500
18-10-30,5.160000,5.570000,5.160000,5.330000,5.330000,4707600,,14715.700195,14899.200195,14696.299805,14894.500000,14894.500000,286522100
18-10-31,5.530000,5.960000,5.410000,5.900000,5.900000,5231400,,15004.900391,15085.500000,14982.700195,15027.299805,15027.299805,310550400
18-11-01,6.000000,6.250000,5.760000,6.150000,6.150000,5817000,,15032.799805,15150.200195,15029.200195,15150.200195,15150.200195,290143000
18-11-02,6.240000,6.370000,6.130000,6.250000,6.250000,4453400,,15204.299805,15222.900391,15037.200195,15119.299805,15119.299805,268963600
18-11-05,6.330000,6.560000,6.130000,6.480000,6.480000,3660900,,15136.799805,15242.400391,15136.799805,15217.700195,15217.700195,255477900
18-11-06,6.510000,7.150000,6.410000,6.840000,6.840000,6568500,,15245.000000,15295.299805,15220.200195,15292.700195,15292.700195,237092100
18-11-07,7.110000,7.200000,6.680000,7.090000,7.090000,6259900,,15385.500000,15392.000000,15293.299805,15369.400391,15369.400391,271236500
18-11-08,7.000000,7.040000,6.710000,6.740000,6.740000,2992100,,15349.599609,15393.099609,15293.299805,15357.500000,15357.500000,281152200
18-11-09,6.500000,6.590000,6.190000,6.380000,6.380000,5018900,,15271.400391,15304.000000,15196.099609,15274.400391,15274.400391,287404100
18-11-12,6.170000,6.230000,5.720000,6.050000,6.050000,4020600,,15263.200195,15263.700195,15145.599609,15156.400391,15156.400391,241196100
18-11-13,6.020000,6.290000,5.900000,6.080000,6.080000,2396600,,15167.700195,15245.500000,15108.599609,15131.799805,15131.799805,300186800
18-11-14,5.900000,6.050000,5.680000,5.980000,5.980000,2860700,,15172.000000,15258.000000,15046.799805,15133.099609,15133.099609,295362000
18-11-15,5.860000,6.460000,5.860000,6.440000,6.440000,3264300,,15104.799805,15177.599609,15068.200195,15144.900391,15144.900391,268321200
18-11-16,6.370000,6.540000,6.160000,6.200000,6.200000,2161400,,15082.900391,15170.299805,15082.900391,15155.500000,15155.500000,285186100
